as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2023-12-31,Artisan Sustainable Emerging Markets Fund Advisor,04314H279,APDEX,12/06/2023,12/07/2023,12/07/2023,0.080579,,
2023-12-31,Artisan Global Value Fund Advisor,04314H683,APDGX,12/06/2023,12/07/2023,12/07/2023,0.191669,0.02715,0.415594
2023-12-31,Artisan Global Equity Fund Advisor,04314H428,APDHX,12/06/2023,12/07/2023,12/07/2023,0.174549,,
2023-12-31,Artisan International Fund Advisor,04314H675,APDIX,12/06/2023,12/07/2023,12/07/2023,0.326392,,0.20663
2023-12-31,Artisan International Small Mid Fund Advisor,04314H485,APDJX,12/27/2023,12/28/2023,12/28/2023,0.000458,,
2023-12-31,Artisan International Value Fund Advisor,04314H667,APDKX,11/28/2023,11/29/2023,11/29/2023,0.548909,,0.832967
2023-12-31,Artisan Value Fund Advisor,04314H634,APDLX,12/06/2023,12/07/2023,12/07/2023,0.150838,,0.573422
2023-12-31,Artisan Select Equity Fund Advisor,04314H469,APDNX,12/06/2023,12/07/2023,12/07/2023,0.075549,,
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Advisor,04314H360,APDOX,12/06/2023,12/07/2023,12/07/2023,0.162146,0.145992,0.065829
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Advisor,04314H360,APDOX,12/27/2023,12/28/2023,12/28/2023,0.07561,,
2023-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,12/06/2023,12/07/2023,12/07/2023,0.064927,0.147319,0.040104
2023-12-31,Artisan Global Unconstrained Fund Advisor,04314H337,APDPX,12/27/2023,12/28/2023,12/28/2023,0.070338,,
2023-12-31,Artisan Mid Cap Value Fund Advisor,04314H642,APDQX,12/06/2023,12/07/2023,12/07/2023,0.133316,,2.589274
2023-12-31,Artisan Global Opportunities Fund Advisor,04314H691,APDRX,12/06/2023,12/07/2023,12/07/2023,,,0.711736
2023-12-31,Artisan Value Income Fund Advisor,04314H295,APDWX,12/27/2023,12/28/2023,12/28/2023,0.068878,,
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Investor,04314H378,APFOX,12/06/2023,12/07/2023,12/07/2023,0.161317,0.145992,0.065829
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Investor,04314H378,APFOX,12/27/2023,12/28/2023,12/28/2023,0.074746,,
2023-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,12/06/2023,12/07/2023,12/07/2023,0.064255,0.147319,0.040104
2023-12-31,Artisan Global Unconstrained Fund Investor,04314H345,APFPX,12/27/2023,12/28/2023,12/28/2023,0.069721,,
2023-12-31,Artisan Value Income Fund Investor,04314H311,APFWX,12/27/2023,12/28/2023,12/28/2023,0.066368,,
2023-12-31,Artisan Sustainable Emerging Markets Fund Institutional,04314H865,APHEX,12/06/2023,12/07/2023,12/07/2023,0.080856,,
2023-12-31,Artisan Global Value Fund Institutional,04314H741,APHGX,12/06/2023,12/07/2023,12/07/2023,0.209142,0.02715,0.415594
2023-12-31,Artisan Global Equity Fund Institutional,04314H584,APHHX,12/06/2023,12/07/2023,12/07/2023,0.205846,,
2023-12-31,Artisan International Fund Institutional,04314H402,APHIX,12/06/2023,12/07/2023,12/07/2023,0.358633,,0.20663
2023-12-31,Artisan International Small Mid Fund Institutional,04314H576,APHJX,12/27/2023,12/28/2023,12/28/2023,0.012726,,
2023-12-31,Artisan International Value Fund Institutional,04314H857,APHKX,11/28/2023,11/29/2023,11/29/2023,0.592556,,0.832967
2023-12-31,Artisan Value Fund Institutional,04314H790,APHLX,12/06/2023,12/07/2023,12/07/2023,0.156593,,0.573422
2023-12-31,Artisan Select Equity Fund Institutional,04314H451,APHNX,12/06/2023,12/07/2023,12/07/2023,0.082653,,
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Institutional,04314H352,APHOX,12/06/2023,12/07/2023,12/07/2023,0.162695,0.145992,0.065829
2023-12-31,Artisan Emerging Markets Debt Opportunities Fund Institutional,04314H352,APHOX,12/27/2023,12/28/2023,12/28/2023,0.076212,,
2023-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,12/06/2023,12/07/2023,12/07/2023,0.065546,0.147319,0.040104
2023-12-31,Artisan Global Unconstrained Fund Institutional,04314H329,APHPX,12/27/2023,12/28/2023,12/28/2023,0.070989,,
2023-12-31,Artisan Mid Cap Value Fund Institutional,04314H774,APHQX,12/06/2023,12/07/2023,12/07/2023,0.149963,,2.589274
2023-12-31,Artisan Global Opportunities Fund Institutional,04314H782,APHRX,12/06/2023,12/07/2023,12/07/2023,,,0.711736
2023-12-31,Artisan Value Income Fund Institutional,04314H287,APHWX,12/27/2023,12/28/2023,12/28/2023,0.069988,,
2023-12-31,Artisan International Explorer Fund Advisor,04314H253,ARDBX,11/28/2023,11/29/2023,11/29/2023,0.065219,0.147135,0.006967
2023-12-31,Artisan International Explorer Fund Institutional,04314H246,ARHBX,11/28/2023,11/29/2023,11/29/2023,0.071945,0.147135,0.006967
2023-12-31,Artisan Global Value Fund Investor,04314H840,ARTGX,12/06/2023,12/07/2023,12/07/2023,0.158664,0.02715,0.415594
2023-12-31,Artisan Global Equity Fund Investor,04314H816,ARTHX,12/06/2023,12/07/2023,12/07/2023,0.160702,,
2023-12-31,Artisan International Fund Investor,04314H204,ARTIX,12/06/2023,12/07/2023,12/07/2023,0.273794,,0.20663
2023-12-31,Artisan International Value Fund Investor,04314H881,ARTKX,11/28/2023,11/29/2023,11/29/2023,0.469665,,0.832967
2023-12-31,Artisan Value Fund Investor,04314H873,ARTLX,12/06/2023,12/07/2023,12/07/2023,0.12832,,0.573422
2023-12-31,Artisan Select Equity Fund Investor,04314H477,ARTNX,12/06/2023,12/07/2023,12/07/2023,0.063457,,
2023-12-31,Artisan Mid Cap Value Fund Investor,04314H709,ARTQX,12/06/2023,12/07/2023,12/07/2023,0.114082,,2.589274
2023-12-31,Artisan Global Opportunities Fund Investor,04314H824,ARTRX,12/06/2023,12/07/2023,12/07/2023,,,0.711736
2023-12-31,Artisan Sustainable Emerging Markets Fund Investor,04314H832,ARTZX,12/06/2023,12/07/2023,12/07/2023,0.066611,,
